State,Year,Quarter,District,Transaction_count,Transaction_amount
Andaman And Nicobar Islands,2018,1,North and Middle Andaman,442,931663.0770939873
Andaman And Nicobar Islands,2018,1,South Andaman,5688,12560249.34366581
Andaman And Nicobar Islands,2018,1,Nicobars,528,1139848.801225994
Andaman And Nicobar Islands,2018,2,North and Middle Andaman,825,1317863.0834906558
Andaman And Nicobar Islands,2018,2,South Andaman,9395,23948235.51634325
Andaman And Nicobar Islands,2018,2,Nicobars,1120,3072436.9081196385
Andaman And Nicobar Islands,2018,3,North and Middle Andaman,1283,4901529.518499676
Andaman And Nicobar Islands,2018,3,South Andaman,13511,44268112.464252464
Andaman And Nicobar Islands,2018,3,Nicobars,1471,6387829.151558982
Andaman And Nicobar Islands,2018,4,North and Middle Andaman,2137,7955635.917688001
Andaman And Nicobar Islands,2018,4,South Andaman,20136,75411840.8018554
Andaman And Nicobar Islands,2018,4,Nicobars,1485,7180859.354911782
Andaman And Nicobar Islands,2019,1,North and Middle Andaman,3264,9561708.736298349
Andaman And Nicobar Islands,2019,1,South Andaman,25683,85501972.38780196
Andaman And Nicobar Islands,2019,1,Nicobars,1539,7236059.549389593
Andaman And Nicobar Islands,2019,2,North and Middle Andaman,3371,8612103.137888122
Andaman And Nicobar Islands,2019,2,South Andaman,28490,102530955.71341251
Andaman And Nicobar Islands,2019,2,Nicobars,1828,9111650.82436246
Andaman And Nicobar Islands,2019,3,North and Middle Andaman,4049,11481466.28335679
Andaman And Nicobar Islands,2019,3,South Andaman,27421,91023888.32848613
Andaman And Nicobar Islands,2019,3,Nicobars,2300,11566421.47545101
Andaman And Nicobar Islands,2019,4,North and Middle Andaman,4716,13524056.784573939
Andaman And Nicobar Islands,2019,4,South Andaman,27843,110930312.2061162
Andaman And Nicobar Islands,2019,4,Nicobars,2600,12384161.52668771
Andaman And Nicobar Islands,2020,1,North and Middle Andaman,5674,14697371.6178571
Andaman And Nicobar Islands,2020,1,South Andaman,32713,134679396.90582752
Andaman And Nicobar Islands,2020,1,Nicobars,2911,12099543.77359005
Andaman And Nicobar Islands,2020,2,North and Middle Andaman,10979,22447714.061058953
Andaman And Nicobar Islands,2020,2,South Andaman,48088,132855778.74838582
Andaman And Nicobar Islands,2020,2,Nicobars,3895,14341508.60470232
Andaman And Nicobar Islands,2020,3,North and Middle Andaman,16747,33486883.37042555
Andaman And Nicobar Islands,2020,3,South Andaman,95323,282366109.2052393
Andaman And Nicobar Islands,2020,3,Nicobars,5413,22166453.75469538
Andaman And Nicobar Islands,2020,4,North and Middle Andaman,29349,68941322.38839513
Andaman And Nicobar Islands,2020,4,South Andaman,186494,523122462.88302904
Andaman And Nicobar Islands,2020,4,Nicobars,8688,35218871.04342849
Andaman And Nicobar Islands,2021,1,North and Middle Andaman,27358,75027255.27919498
Andaman And Nicobar Islands,2021,1,South Andaman,207092,669604045.1248703
Andaman And Nicobar Islands,2021,1,Nicobars,10302,39075266.9856904
Andaman And Nicobar Islands,2021,2,North and Middle Andaman,39200,90233388.79463302
Andaman And Nicobar Islands,2021,2,South Andaman,286907,760893020.5704944
Andaman And Nicobar Islands,2021,2,Nicobars,15307,48020606.74716837
Andaman And Nicobar Islands,2021,3,North and Middle Andaman,46592,118254865.8275068
Andaman And Nicobar Islands,2021,3,South Andaman,382418,1116789010.645961
Andaman And Nicobar Islands,2021,3,Nicobars,20754,74980519.3281361
Andaman And Nicobar Islands,2021,4,North and Middle Andaman,53115,156486112.2873243
Andaman And Nicobar Islands,2021,4,South Andaman,558571,1694794708.0093331
Andaman And Nicobar Islands,2021,4,Nicobars,24437,81329281.02699961
Andaman And Nicobar Islands,2022,1,North and Middle Andaman,60059,161624878.52274162
Andaman And Nicobar Islands,2022,1,South Andaman,705512,1872991195.9026842
Andaman And Nicobar Islands,2022,1,Nicobars,29177,94414127.64974089
Andaman And Nicobar Islands,2022,2,North and Middle Andaman,72573,195693167.78757262
Andaman And Nicobar Islands,2022,2,South Andaman,954875,2357326563.362071
Andaman And Nicobar Islands,2022,2,Nicobars,43769,132900618.93062322
Andaman And Nicobar Islands,2022,3,North and Middle Andaman,79574,211581970.34202647
Andaman And Nicobar Islands,2022,3,South Andaman,1455255,2967719400.849909
Andaman And Nicobar Islands,2022,3,Nicobars,49550,131330400.94545081
Andaman And Nicobar Islands,2022,4,North and Middle Andaman,93297,241431284.3558103
Andaman And Nicobar Islands,2022,4,South Andaman,1835592,3600887266.099448
Andaman And Nicobar Islands,2022,4,Nicobars,58646,142355853.9735252
Andaman And Nicobar Islands,2023,1,North and Middle Andaman,152187,392080332.0
Andaman And Nicobar Islands,2023,1,South Andaman,2030078,3867385426.0
Andaman And Nicobar Islands,2023,1,Nicobars,94127,202062829.0
Andaman And Nicobar Islands,2023,2,North and Middle Andaman,181149,462414674.99999994
Andaman And Nicobar Islands,2023,2,South Andaman,2417058,4297737197.0
Andaman And Nicobar Islands,2023,2,Nicobars,109568,230192364.0
Andaman And Nicobar Islands,2023,3,North and Middle Andaman,198547,495623029.99999994
Andaman And Nicobar Islands,2023,3,South Andaman,2771397,4462201588.0
Andaman And Nicobar Islands,2023,3,Nicobars,128432,253772173.0
Andaman And Nicobar Islands,2023,4,North and Middle Andaman,230234,540759631.0
Andaman And Nicobar Islands,2023,4,South Andaman,3311962,5417264997.0
Andaman And Nicobar Islands,2023,4,Nicobars,153587,311527871.0
Andaman And Nicobar Islands,2024,1,North and Middle Andaman,266400,601756070.0
Andaman And Nicobar Islands,2024,1,South Andaman,3751724,5952049462.0
Andaman And Nicobar Islands,2024,1,Nicobars,166796,305346303.0
Andhra Pradesh,2018,1,East Godavari,943935,1235785515.599726
Andhra Pradesh,2018,1,Srikakulam,458921,587778028.9183557
Andhra Pradesh,2018,1,Spsr Nellore,531612,676643237.8069417
Andhra Pradesh,2018,1,Vizianagaram,420990,505783445.78161997
Andhra Pradesh,2018,1,Visakhapatnam,1256469,1749966196.5049942
Andhra Pradesh,2018,1,Prakasam,534757,748990775.8676485
Andhra Pradesh,2018,1,Anantapur,638664,788830646.0324218
Andhra Pradesh,2018,1,Ysr,487333,681481931.0936775
Andhra Pradesh,2018,1,West Godavari,577090,853547668.7532667
Andhra Pradesh,2018,1,Kurnool,679623,764905298.7350456
Andhra Pradesh,2018,1,Chittoor,830324,1009621878.0870509
Andhra Pradesh,2018,1,Guntur,815932,1108686589.026682
Andhra Pradesh,2018,1,Krishna,863935,1284255179.6156201
Andhra Pradesh,2018,2,East Godavari,1221677,2168914928.423901
Andhra Pradesh,2018,2,Srikakulam,559868,929392017.3670052
Andhra Pradesh,2018,2,Spsr Nellore,780454,1542057934.010896
Andhra Pradesh,2018,2,Vizianagaram,529588,811711367.5080049
Andhra Pradesh,2018,2,Visakhapatnam,1641192,2987853607.2939086
Andhra Pradesh,2018,2,Prakasam,739991,1571167562.1276271
Andhra Pradesh,2018,2,Anantapur,937023,1690366079.055792
Andhra Pradesh,2018,2,Ysr,690842,1415500367.686184
Andhra Pradesh,2018,2,West Godavari,786033,1688025212.304594
Andhra Pradesh,2018,2,Kurnool,968439,1531888665.684323
Andhra Pradesh,2018,2,Chittoor,1185723,1990419125.893711
Andhra Pradesh,2018,2,Guntur,1088101,2108475811.785996
Andhra Pradesh,2018,2,Krishna,1224987,2448141593.4919834
Andhra Pradesh,2018,3,East Godavari,3226907,3551247095.3074474
Andhra Pradesh,2018,3,Srikakulam,1073883,1318322236.598471
Andhra Pradesh,2018,3,Spsr Nellore,1308890,2215938596.1851077
Andhra Pradesh,2018,3,Vizianagaram,970132,1163546006.895916
Andhra Pradesh,2018,3,Visakhapatnam,3394576,4821892253.393524
Andhra Pradesh,2018,3,Prakasam,1319651,2346453445.483843
Andhra Pradesh,2018,3,Anantapur,1815215,2681787750.4641647
Andhra Pradesh,2018,3,Ysr,1557444,2235904512.2542043
Andhra Pradesh,2018,3,West Godavari,1431282,2309078492.805814
Andhra Pradesh,2018,3,Kurnool,2921189,2908389261.539773
Andhra Pradesh,2018,3,Chittoor,2297429,3283517630.720593
Andhra Pradesh,2018,3,Guntur,1912529,3127764663.180438
Andhra Pradesh,2018,3,Krishna,2396934,3754202654.384461
Andhra Pradesh,2018,4,East Godavari,3052762,4652624623.436675
Andhra Pradesh,2018,4,Srikakulam,1252807,1870278609.504549
Andhra Pradesh,2018,4,Spsr Nellore,1814997,3293448556.973445
Andhra Pradesh,2018,4,Vizianagaram,1386787,1817673252.541776
Andhra Pradesh,2018,4,Visakhapatnam,4791421,7366635864.849373
Andhra Pradesh,2018,4,Prakasam,1692862,3255254226.03728
Andhra Pradesh,2018,4,Anantapur,2286391,3975878156.3298287
Andhra Pradesh,2018,4,Ysr,1732527,3252340063.247859
Andhra Pradesh,2018,4,West Godavari,1688482,3237504255.4632454
Andhra Pradesh,2018,4,Kurnool,2508530,3626544852.4069242
Andhra Pradesh,2018,4,Chittoor,3166201,4979093890.223491
Andhra Pradesh,2018,4,Guntur,2546620,4730251217.6969595
Andhra Pradesh,2018,4,Krishna,2839161,5416251838.130406
Andhra Pradesh,2019,1,East Godavari,5440146,7382264724.59952
Andhra Pradesh,2019,1,Srikakulam,2526855,3407912878.415258
Andhra Pradesh,2019,1,Spsr Nellore,3333584,5161932216.216368
Andhra Pradesh,2019,1,Vizianagaram,2798241,3364576948.2993007
Andhra Pradesh,2019,1,Visakhapatnam,9690866,13459857440.552681
Andhra Pradesh,2019,1,Prakasam,2931081,4807527779.215152
Andhra Pradesh,2019,1,Anantapur,3891336,6044730653.191345
Andhra Pradesh,2019,1,Ysr,2852197,4915811593.896078
Andhra Pradesh,2019,1,West Godavari,2829437,4623764455.47309
Andhra Pradesh,2019,1,Kurnool,4193432,5541564892.509683
Andhra Pradesh,2019,1,Chittoor,6486813,8223371732.233584
Andhra Pradesh,2019,1,Guntur,4846553,7765934169.404485
Andhra Pradesh,2019,1,Krishna,5443981,9061346433.07268
Andhra Pradesh,2019,2,East Godavari,4699261,9116404622.476511
Andhra Pradesh,2019,2,Srikakulam,2019203,4066576539.9368386
Andhra Pradesh,2019,2,Spsr Nellore,3141891,6880873007.482059
Andhra Pradesh,2019,2,Vizianagaram,2272320,4443041665.039663
Andhra Pradesh,2019,2,Visakhapatnam,11705738,20797479804.02907
Andhra Pradesh,2019,2,Prakasam,2670529,6262396448.455349
Andhra Pradesh,2019,2,Anantapur,3578836,7830782361.377665
Andhra Pradesh,2019,2,Ysr,2606284,6376856828.130631
Andhra Pradesh,2019,2,West Godavari,2402074,5676818258.955046
Andhra Pradesh,2019,2,Kurnool,3895824,7358285187.018034
Andhra Pradesh,2019,2,Chittoor,5983308,10982727976.22432
Andhra Pradesh,2019,2,Guntur,5005275,10405246943.48149
Andhra Pradesh,2019,2,Krishna,6428472,13437029115.62075
Andhra Pradesh,2019,3,East Godavari,6537303,11387726470.57774
Andhra Pradesh,2019,3,Srikakulam,2556296,4610131289.524039
Andhra Pradesh,2019,3,Spsr Nellore,4150195,8256600118.735449
Andhra Pradesh,2019,3,Vizianagaram,2861581,4922069039.192161
Andhra Pradesh,2019,3,Visakhapatnam,16694947,26944837120.04628
Andhra Pradesh,2019,3,Prakasam,3430750,7354502261.15091
Andhra Pradesh,2019,3,Anantapur,4889720,9554081289.488277
Andhra Pradesh,2019,3,Ysr,3296586,7447544274.211781
Andhra Pradesh,2019,3,West Godavari,3179541,6627629029.014131
Andhra Pradesh,2019,3,Kurnool,5139134,9025632779.412457
Andhra Pradesh,2019,3,Chittoor,8201783,13837455758.755262
Andhra Pradesh,2019,3,Guntur,6942304,13075661264.18803
Andhra Pradesh,2019,3,Krishna,8408474,16404073560.50078
Andhra Pradesh,2019,4,East Godavari,9285739,16816774065.30131
Andhra Pradesh,2019,4,Srikakulam,3712555,6832369301.879346
Andhra Pradesh,2019,4,Spsr Nellore,5877804,11786014089.19402
Andhra Pradesh,2019,4,Vizianagaram,3998234,7175851807.068796
Andhra Pradesh,2019,4,Visakhapatnam,23594874,39133296330.044624
Andhra Pradesh,2019,4,Prakasam,4865473,10604077824.801031
Andhra Pradesh,2019,4,Anantapur,6764112,13887248889.06406
Andhra Pradesh,2019,4,Ysr,4793157,10865073855.73078
Andhra Pradesh,2019,4,West Godavari,4596479,9710614747.20177
Andhra Pradesh,2019,4,Kurnool,7001958,13233105728.54823
Andhra Pradesh,2019,4,Chittoor,11246986,19298476027.87548
Andhra Pradesh,2019,4,Guntur,9761330,18565626418.03591
Andhra Pradesh,2019,4,Krishna,11719402,23039786404.046642
Andhra Pradesh,2020,1,East Godavari,11346242,21854701379.428677
Andhra Pradesh,2020,1,Srikakulam,4835092,9777575594.177538
Andhra Pradesh,2020,1,Spsr Nellore,7430247,15387829694.446861
Andhra Pradesh,2020,1,Vizianagaram,5042066,9879174240.920494
Andhra Pradesh,2020,1,Visakhapatnam,27115031,48809747614.67889
Andhra Pradesh,2020,1,Prakasam,6318396,14169104764.52673
Andhra Pradesh,2020,1,Anantapur,8466129,17864325752.82528
Andhra Pradesh,2020,1,Ysr,6031255,14059924636.81991
Andhra Pradesh,2020,1,West Godavari,5919670,12995834340.71623
Andhra Pradesh,2020,1,Kurnool,8246869,17022710311.81304
Andhra Pradesh,2020,1,Chittoor,13257740,23441848567.34419
Andhra Pradesh,2020,1,Guntur,11493331,22992734620.64621
Andhra Pradesh,2020,1,Krishna,12175289,24481702770.71471
Andhra Pradesh,2020,2,East Godavari,13130334,26319906327.32029
Andhra Pradesh,2020,2,Srikakulam,6425515,12153650076.87583
Andhra Pradesh,2020,2,Spsr Nellore,9454274,20665376460.772232
Andhra Pradesh,2020,2,Vizianagaram,6690313,12819344389.54538
Andhra Pradesh,2020,2,Visakhapatnam,25300401,48293889917.414375
Andhra Pradesh,2020,2,Prakasam,8844580,19846026726.90433
Andhra Pradesh,2020,2,Anantapur,10473739,22094006659.412502
Andhra Pradesh,2020,2,Ysr,8033609,19597207268.13202
Andhra Pradesh,2020,2,West Godavari,7273096,16585866855.15978
Andhra Pradesh,2020,2,Kurnool,9821381,22419372061.805172
Andhra Pradesh,2020,2,Chittoor,14848197,27361300300.01902
Andhra Pradesh,2020,2,Guntur,12308707,27463593607.839104
Andhra Pradesh,2020,2,Krishna,12313709,26964149095.36629
Andhra Pradesh,2020,3,East Godavari,17972431,39300043804.758514
Andhra Pradesh,2020,3,Srikakulam,8286289,18029574581.33742
Andhra Pradesh,2020,3,Spsr Nellore,16468209,39128324534.03022
Andhra Pradesh,2020,3,Vizianagaram,8236703,17567816576.50126
Andhra Pradesh,2020,3,Visakhapatnam,34421299,67628440368.111465
Andhra Pradesh,2020,3,Prakasam,12266310,31221704852.44969
Andhra Pradesh,2020,3,Anantapur,14447683,34102037972.657852
Andhra Pradesh,2020,3,Ysr,11934653,32037007334.12973
Andhra Pradesh,2020,3,West Godavari,10412351,25408608725.75429
Andhra Pradesh,2020,3,Kurnool,13243292,32529351107.17173
Andhra Pradesh,2020,3,Chittoor,20501863,42811566246.16463
Andhra Pradesh,2020,3,Guntur,17601395,42531195809.75448
Andhra Pradesh,2020,3,Krishna,19110457,44788458672.084435
Andhra Pradesh,2020,4,East Godavari,25989490,58732615663.118416
Andhra Pradesh,2020,4,Srikakulam,11092184,25222520275.27882
Andhra Pradesh,2020,4,Spsr Nellore,20934374,49115443663.37911
Andhra Pradesh,2020,4,Vizianagaram,10580824,24094847668.44506
Andhra Pradesh,2020,4,Visakhapatnam,46551467,91879823025.40399
Andhra Pradesh,2020,4,Prakasam,16176867,41852443493.51539
Andhra Pradesh,2020,4,Anantapur,20996384,49732610814.26222
Andhra Pradesh,2020,4,Ysr,15676878,42572974713.44026
Andhra Pradesh,2020,4,West Godavari,15674762,40310975762.603455
Andhra Pradesh,2020,4,Kurnool,18737323,44718203115.22612
Andhra Pradesh,2020,4,Chittoor,29590411,61505711149.79541
Andhra Pradesh,2020,4,Guntur,26136538,60641872021.254326
Andhra Pradesh,2020,4,Krishna,27981050,64461504667.60723
Andhra Pradesh,2021,1,East Godavari,26190701,60027984987.969505
Andhra Pradesh,2021,1,Srikakulam,11160473,26486623313.092724
Andhra Pradesh,2021,1,Spsr Nellore,22541428,52210333201.53073
Andhra Pradesh,2021,1,Vizianagaram,10514582,24153782497.24324
Andhra Pradesh,2021,1,Visakhapatnam,48248923,95308386037.84721
Andhra Pradesh,2021,1,Prakasam,15175395,41396223622.17477
Andhra Pradesh,2021,1,Anantapur,20102957,48353870395.01808
Andhra Pradesh,2021,1,Ysr,15374473,42570919448.50447
Andhra Pradesh,2021,1,West Godavari,16015685,42124030669.36126
Andhra Pradesh,2021,1,Kurnool,17918524,44941629659.56964
Andhra Pradesh,2021,1,Chittoor,29342609,60947491846.66089
Andhra Pradesh,2021,1,Guntur,27445045,64207987853.1084
Andhra Pradesh,2021,1,Krishna,29717175,69715406644.53485
Andhra Pradesh,2021,2,East Godavari,31717908,74604325863.66068
Andhra Pradesh,2021,2,Srikakulam,13546232,32298129544.54086
Andhra Pradesh,2021,2,Spsr Nellore,30290406,72283071757.09679
Andhra Pradesh,2021,2,Vizianagaram,12689494,29140685236.830723
Andhra Pradesh,2021,2,Visakhapatnam,54390299,114439012713.3533
Andhra Pradesh,2021,2,Prakasam,19944047,54535328043.04135
Andhra Pradesh,2021,2,Anantapur,25123346,60987487571.27991
Andhra Pradesh,2021,2,Ysr,18457361,52523527031.021324
Andhra Pradesh,2021,2,West Godavari,20950964,57233116236.187965
Andhra Pradesh,2021,2,Kurnool,21972396,56659287474.9958
Andhra Pradesh,2021,2,Chittoor,34344902,73654690122.43158
Andhra Pradesh,2021,2,Guntur,32968819,82356914463.83287
Andhra Pradesh,2021,2,Krishna,36370960,90021923049.96454
Andhra Pradesh,2021,3,East Godavari,39572714,89380370072.7078
Andhra Pradesh,2021,3,Srikakulam,15639768,34836400769.87681
Andhra Pradesh,2021,3,Spsr Nellore,34411958,77839676988.30869
Andhra Pradesh,2021,3,Vizianagaram,14510005,31383541628.21252
Andhra Pradesh,2021,3,Visakhapatnam,69220981,136945652159.2651
Andhra Pradesh,2021,3,Prakasam,24116580,63367713446.92805
Andhra Pradesh,2021,3,Anantapur,30366444,70291248155.64975
Andhra Pradesh,2021,3,Ysr,22439316,60683557724.65233
Andhra Pradesh,2021,3,West Godavari,26245039,66647238455.1675
Andhra Pradesh,2021,3,Kurnool,26377809,62527453761.598076
Andhra Pradesh,2021,3,Chittoor,42628568,89371931753.04831
Andhra Pradesh,2021,3,Guntur,41675093,96525353090.12306
Andhra Pradesh,2021,3,Krishna,44828275,104417897558.5897
Andhra Pradesh,2021,4,East Godavari,48992531,106725597026.00351
Andhra Pradesh,2021,4,Srikakulam,18501857,39713657870.15512
Andhra Pradesh,2021,4,Spsr Nellore,41921081,92256405076.26547
Andhra Pradesh,2021,4,Vizianagaram,17253059,36577529464.968704
Andhra Pradesh,2021,4,Visakhapatnam,82711538,159530099772.73468
Andhra Pradesh,2021,4,Prakasam,27858275,71323060008.47623
Andhra Pradesh,2021,4,Anantapur,36129136,81239787006.64764
Andhra Pradesh,2021,4,Ysr,26340348,69081850069.2033
Andhra Pradesh,2021,4,West Godavari,33235175,81292461575.08183
Andhra Pradesh,2021,4,Kurnool,31782248,73968947669.64754
Andhra Pradesh,2021,4,Chittoor,51119640,103985734663.7351
Andhra Pradesh,2021,4,Guntur,50919286,115553993673.1733
Andhra Pradesh,2021,4,Krishna,55489829,125015323207.8983
Andhra Pradesh,2022,1,East Godavari,54738830,121067103712.79561
Andhra Pradesh,2022,1,Srikakulam,20990782,46898912115.649216
Andhra Pradesh,2022,1,Spsr Nellore,47645702,104895571602.1398
Andhra Pradesh,2022,1,Vizianagaram,19278262,41994853361.58878
Andhra Pradesh,2022,1,Visakhapatnam,88233362,170120350591.26
Andhra Pradesh,2022,1,Prakasam,31340975,79494373254.71565
Andhra Pradesh,2022,1,Anantapur,40613148,90197023268.43825
Andhra Pradesh,2022,1,Ysr,29783739,78421693518.90942
Andhra Pradesh,2022,1,West Godavari,37271259,92397939903.60939
Andhra Pradesh,2022,1,Kurnool,35093633,81568420500.54749
Andhra Pradesh,2022,1,Chittoor,58561024,117900595508.634
Andhra Pradesh,2022,1,Guntur,57226996,129673727687.0894
Andhra Pradesh,2022,1,Krishna,61826199,139690081529.49042
Andhra Pradesh,2022,2,East Godavari,62072845,135531452997.63911
Andhra Pradesh,2022,2,Srikakulam,23727353,53754764122.43269
Andhra Pradesh,2022,2,Spsr Nellore,54838708,121941082043.49481
Andhra Pradesh,2022,2,Vizianagaram,21766135,47294745020.495636
Andhra Pradesh,2022,2,Visakhapatnam,101387402,193242841582.14282
Andhra Pradesh,2022,2,Prakasam,36163507,90435082545.97766
Andhra Pradesh,2022,2,Anantapur,46099366,102138758015.7691
Andhra Pradesh,2022,2,Ysr,33154559,87601310069.59737
Andhra Pradesh,2022,2,West Godavari,44409239,107973244960.42819
Andhra Pradesh,2022,2,Kurnool,40165692,92409350855.50198
Andhra Pradesh,2022,2,Chittoor,67507661,136435445124.75612
Andhra Pradesh,2022,2,Guntur,66315749,147098141568.7623
Andhra Pradesh,2022,2,Krishna,73525814,163997729295.9313
Andhra Pradesh,2022,3,East Godavari,61467134,129677722169.7482
Andhra Pradesh,2022,3,Srikakulam,22126541,46899962921.785614
Andhra Pradesh,2022,3,Spsr Nellore,42116582,95099325968.25972
Andhra Pradesh,2022,3,Vizianagaram,20440645,42513313394.84207
Andhra Pradesh,2022,3,Visakhapatnam,97434546,181124419863.6144
Andhra Pradesh,2022,3,Prakasam,35376080,87475230073.46388
Andhra Pradesh,2022,3,Anantapur,45165363,97735649608.10074
Andhra Pradesh,2022,3,Ysr,33119038,86016932181.12372
Andhra Pradesh,2022,3,West Godavari,43635951,101706854744.31871
Andhra Pradesh,2022,3,Kurnool,39557913,88415335176.31995
Andhra Pradesh,2022,3,Chittoor,65751781,133053581631.6395
Andhra Pradesh,2022,3,Guntur,65612317,141588522953.2377
Andhra Pradesh,2022,3,Krishna,71051144,153770559025.69122
Andhra Pradesh,2022,4,East Godavari,68016055,136531110139.8625
Andhra Pradesh,2022,4,Srikakulam,23693779,47726411107.886284
Andhra Pradesh,2022,4,Spsr Nellore,42582064,92085916180.6851
Andhra Pradesh,2022,4,Vizianagaram,22205190,44467386404.34759
Andhra Pradesh,2022,4,Visakhapatnam,103790055,185306149744.73102
Andhra Pradesh,2022,4,Prakasam,37211077,88105031866.36835
Andhra Pradesh,2022,4,Anantapur,48299601,101533878537.2343
Andhra Pradesh,2022,4,Ysr,35201596,87360426792.81667
Andhra Pradesh,2022,4,West Godavari,47919930,105335724990.5932
Andhra Pradesh,2022,4,Kurnool,43524766,94667441029.08345
Andhra Pradesh,2022,4,Chittoor,70322534,136840859888.1815
Andhra Pradesh,2022,4,Guntur,70723763,146938735166.5236
Andhra Pradesh,2022,4,Krishna,76526667,157826011193.3544
Andhra Pradesh,2023,1,East Godavari,115196449,223454724672.0
Andhra Pradesh,2023,1,Srikakulam,42209999,86486032409.0
Andhra Pradesh,2023,1,Spsr Nellore,71318689,143967164643.0
Andhra Pradesh,2023,1,Vizianagaram,38838861,76472384525.0
Andhra Pradesh,2023,1,Visakhapatnam,164358781,277211090180.0
Andhra Pradesh,2023,1,Prakasam,63671149,141672839638.0
Andhra Pradesh,2023,1,Anantapur,82127373,162287796625.0
Andhra Pradesh,2023,1,Ysr,59768512,140117633668.0
Andhra Pradesh,2023,1,West Godavari,79094558,165941144654.0
Andhra Pradesh,2023,1,Kurnool,72405172,149100361797.0
Andhra Pradesh,2023,1,Chittoor,120192355,218037027225.99997
Andhra Pradesh,2023,1,Guntur,114246185,226244225817.0
Andhra Pradesh,2023,1,Krishna,122104381,238058890676.0
Andhra Pradesh,2023,2,East Godavari,131243375,245134717109.0
Andhra Pradesh,2023,2,Srikakulam,47633204,93082175904.0
Andhra Pradesh,2023,2,Spsr Nellore,82056071,165181391414.0
Andhra Pradesh,2023,2,Vizianagaram,43625851,82671020353.0
Andhra Pradesh,2023,2,Visakhapatnam,184918179,303874597259.0
Andhra Pradesh,2023,2,Prakasam,73598725,158428689659.0
Andhra Pradesh,2023,2,Anantapur,91695174,180050369328.0
Andhra Pradesh,2023,2,Ysr,66809788,156231915019.0
Andhra Pradesh,2023,2,West Godavari,92533269,187699526244.0
Andhra Pradesh,2023,2,Kurnool,81475907,166991990104.0
Andhra Pradesh,2023,2,Chittoor,136283483,245550525910.00003
Andhra Pradesh,2023,2,Guntur,132035450,254140764679.99997
Andhra Pradesh,2023,2,Krishna,141748488,267001403932.99997
Andhra Pradesh,2023,3,East Godavari,148701666,260414286361.0
Andhra Pradesh,2023,3,Srikakulam,51382393,91818203167.0
Andhra Pradesh,2023,3,Spsr Nellore,93875073,176593750929.0
Andhra Pradesh,2023,3,Vizianagaram,47856766,83289704541.0
Andhra Pradesh,2023,3,Visakhapatnam,209884966,328927220951.0
Andhra Pradesh,2023,3,Prakasam,84447202,171207298619.0
Andhra Pradesh,2023,3,Anantapur,104539628,192477441164.0
Andhra Pradesh,2023,3,Ysr,76091693,168218516193.0
Andhra Pradesh,2023,3,West Godavari,102962058,191891823401.0
Andhra Pradesh,2023,3,Kurnool,92890445,172979053544.99997
Andhra Pradesh,2023,3,Chittoor,152863845,265404757144.0
Andhra Pradesh,2023,3,Guntur,150246761,270651818043.99997
Andhra Pradesh,2023,3,Krishna,159421907,279540224039.0
Andhra Pradesh,2023,4,East Godavari,162793144,282329255747.0
Andhra Pradesh,2023,4,Srikakulam,56291337,97021746702.0
Andhra Pradesh,2023,4,Spsr Nellore,97721962,179306028468.0
Andhra Pradesh,2023,4,Vizianagaram,53248760,90289502507.0
Andhra Pradesh,2023,4,Visakhapatnam,223584765,344512874812.0
Andhra Pradesh,2023,4,Prakasam,89721677,174929737360.0
Andhra Pradesh,2023,4,Anantapur,113698752,203367177888.0
Andhra Pradesh,2023,4,Ysr,83729195,176644897379.0
Andhra Pradesh,2023,4,West Godavari,114825704,209237892746.0
Andhra Pradesh,2023,4,Kurnool,103816175,190597527675.0
Andhra Pradesh,2023,4,Chittoor,163521593,274132458091.99997
Andhra Pradesh,2023,4,Guntur,160724947,281806839570.0
Andhra Pradesh,2023,4,Krishna,173309415,298339038877.0
Andhra Pradesh,2024,1,East Godavari,179489444,306324309402.0
Andhra Pradesh,2024,1,Srikakulam,66267698,118669200655.0
Andhra Pradesh,2024,1,Spsr Nellore,108549115,190803645040.0
Andhra Pradesh,2024,1,Vizianagaram,61170983,105672797741.0
Andhra Pradesh,2024,1,Visakhapatnam,238418938,363341573689.0
Andhra Pradesh,2024,1,Prakasam,99550457,187480623851.0
Andhra Pradesh,2024,1,Anantapur,125240418,212681689201.0
Andhra Pradesh,2024,1,Ysr,94211451,190227479302.0
Andhra Pradesh,2024,1,West Godavari,127602250,228733104931.0
Andhra Pradesh,2024,1,Kurnool,115036343,204805909023.00003
Andhra Pradesh,2024,1,Chittoor,179903083,289620567340.0
Andhra Pradesh,2024,1,Guntur,173636233,297371276946.0
Andhra Pradesh,2024,1,Krishna,186352072,316993492628.0
Arunachal Pradesh,2018,1,Lower Dibang Valley,1356,1076236.814073793
Arunachal Pradesh,2018,1,Lower Subansiri,1477,3650727.893614269
Arunachal Pradesh,2018,1,Longding,2321,4361531.578447229
Arunachal Pradesh,2018,1,West Siang,1887,4796675.565399804
Arunachal Pradesh,2018,1,Kamle,14,7971.330494807651
Arunachal Pradesh,2018,1,Upper Siang,126,186610.66988095018
Arunachal Pradesh,2018,1,Tirap,945,1064265.0002443574
Arunachal Pradesh,2018,1,Papum Pare,14224,32555848.46233147
Arunachal Pradesh,2018,1,Kurung Kumey,84,99416.58027150274
Arunachal Pradesh,2018,1,Siang,252,339471.80434222345
Arunachal Pradesh,2018,1,Lower Siang,1292,2337960.7148240386
