State,Year,Quarter,District,Registered_users
Dadra And Nagar Haveli And Daman And Diu,2023,4,Dadra and Nagar Haveli,354944
Dadra And Nagar Haveli And Daman And Diu,2023,4,Daman,215319
Dadra And Nagar Haveli And Daman And Diu,2023,4,Diu,20497
Dadra And Nagar Haveli And Daman And Diu,2024,1,Dadra and Nagar Haveli,370071
Dadra And Nagar Haveli And Daman And Diu,2024,1,Daman,224463
Dadra And Nagar Haveli And Daman And Diu,2024,1,Diu,21329
Delhi,2018,1,West,308558
Delhi,2018,1,South East Delhi,251213
Delhi,2018,1,North West,223679
Delhi,2018,1,New Delhi,212008
Delhi,2018,1,Central Delhi,202723
Delhi,2018,1,South West,179197
Delhi,2018,1,North,173622
Delhi,2018,1,East,169295
Delhi,2018,1,South,156706
Delhi,2018,1,Shahdara,114549
Delhi,2018,2,West,406877
Delhi,2018,2,South East Delhi,333350
Delhi,2018,2,North West,294038
Delhi,2018,2,New Delhi,282319
Delhi,2018,2,Central Delhi,267154
Delhi,2018,2,South West,236789
Delhi,2018,2,North,227958
Delhi,2018,2,East,221449
Delhi,2018,2,South,206935
Delhi,2018,2,Shahdara,152113
Delhi,2018,3,West,515854
Delhi,2018,3,South East Delhi,423177
Delhi,2018,3,North West,376806
Delhi,2018,3,New Delhi,363140
Delhi,2018,3,Central Delhi,340549
Delhi,2018,3,South West,297663
Delhi,2018,3,North,290251
Delhi,2018,3,East,280847
Delhi,2018,3,South,264628
Delhi,2018,3,Shahdara,192430
Delhi,2018,4,West,686653
Delhi,2018,4,South East Delhi,564640
Delhi,2018,4,North West,496928
Delhi,2018,4,New Delhi,470991
Delhi,2018,4,Central Delhi,446787
Delhi,2018,4,South West,393208
Delhi,2018,4,North,379177
Delhi,2018,4,East,373139
Delhi,2018,4,South,344311
Delhi,2018,4,Shahdara,257785
Delhi,2019,1,West,820526
Delhi,2019,1,South East Delhi,671667
Delhi,2019,1,North West,583438
Delhi,2019,1,New Delhi,558516
Delhi,2019,1,Central Delhi,529918
Delhi,2019,1,South West,467571
Delhi,2019,1,North,447987
Delhi,2019,1,East,439639
Delhi,2019,1,South,407519
Delhi,2019,1,Shahdara,310351
Delhi,2019,2,West,919096
Delhi,2019,2,South East Delhi,749218
Delhi,2019,2,North West,649377
Delhi,2019,2,New Delhi,637526
Delhi,2019,2,Central Delhi,596940
Delhi,2019,2,South West,519422
Delhi,2019,2,North,502570
Delhi,2019,2,East,487121
Delhi,2019,2,South,453829
Delhi,2019,2,Shahdara,352312
Delhi,2019,3,West,1008836
Delhi,2019,3,South East Delhi,821304
Delhi,2019,3,North West,709448
Delhi,2019,3,New Delhi,705546
Delhi,2019,3,Central Delhi,658985
Delhi,2019,3,South West,567496
Delhi,2019,3,North,554029
Delhi,2019,3,East,532254
Delhi,2019,3,South,498200
Delhi,2019,3,Shahdara,391827
Delhi,2019,4,West,1081496
Delhi,2019,4,South East Delhi,883080
Delhi,2019,4,North West,758620
Delhi,2019,4,New Delhi,757888
Delhi,2019,4,Central Delhi,711015
Delhi,2019,4,South West,605482
Delhi,2019,4,North,598910
Delhi,2019,4,East,568283
Delhi,2019,4,South,533716
Delhi,2019,4,Shahdara,425305
Delhi,2020,1,West,1160353
Delhi,2020,1,South East Delhi,947535
Delhi,2020,1,North West,814249
Delhi,2020,1,New Delhi,810489
Delhi,2020,1,Central Delhi,765149
Delhi,2020,1,North,648654
Delhi,2020,1,South West,644981
Delhi,2020,1,East,604768
Delhi,2020,1,South,570329
Delhi,2020,1,Shahdara,460186
Delhi,2020,2,West,1243875
Delhi,2020,2,South East Delhi,1011931
Delhi,2020,2,North West,877218
Delhi,2020,2,New Delhi,858515
Delhi,2020,2,Central Delhi,821609
Delhi,2020,2,North,704186
Delhi,2020,2,South West,688199
Delhi,2020,2,East,641233
Delhi,2020,2,South,608062
Delhi,2020,2,Shahdara,498710
Delhi,2020,3,West,1343895
Delhi,2020,3,South East Delhi,1088989
Delhi,2020,3,North West,946954
Delhi,2020,3,New Delhi,912051
Delhi,2020,3,Central Delhi,888536
Delhi,2020,3,North,763389
Delhi,2020,3,South West,739034
Delhi,2020,3,East,685955
Delhi,2020,3,South,651616
Delhi,2020,3,Shahdara,543831
Delhi,2020,4,West,1451042
Delhi,2020,4,South East Delhi,1174221
Delhi,2020,4,North West,1019187
Delhi,2020,4,New Delhi,971715
Delhi,2020,4,Central Delhi,962750
Delhi,2020,4,North,827019
Delhi,2020,4,South West,792331
Delhi,2020,4,East,734091
Delhi,2020,4,South,699303
Delhi,2020,4,Shahdara,591192
Delhi,2021,1,West,1559112
Delhi,2021,1,South East Delhi,1260645
Delhi,2021,1,North West,1094464
Delhi,2021,1,New Delhi,1039016
Delhi,2021,1,Central Delhi,1035060
Delhi,2021,1,North,890194
Delhi,2021,1,South West,849223
Delhi,2021,1,East,786308
Delhi,2021,1,South,749173
Delhi,2021,1,Shahdara,636908
Delhi,2021,2,West,1666267
Delhi,2021,2,South East Delhi,1346063
Delhi,2021,2,North West,1170137
Delhi,2021,2,New Delhi,1108471
Delhi,2021,2,Central Delhi,1105640
Delhi,2021,2,North,952374
Delhi,2021,2,South West,906878
Delhi,2021,2,East,839185
Delhi,2021,2,South,799590
Delhi,2021,2,Shahdara,681073
Delhi,2021,3,West,1785309
Delhi,2021,3,South East Delhi,1441462
Delhi,2021,3,North West,1254464
Delhi,2021,3,New Delhi,1185588
Delhi,2021,3,Central Delhi,1184217
Delhi,2021,3,North,1022251
Delhi,2021,3,South West,971552
Delhi,2021,3,East,898137
Delhi,2021,3,South,855177
Delhi,2021,3,Shahdara,730209
Delhi,2021,4,West,1905278
Delhi,2021,4,South East Delhi,1537814
Delhi,2021,4,North West,1339480
Delhi,2021,4,Central Delhi,1263911
Delhi,2021,4,New Delhi,1263818
Delhi,2021,4,North,1093028
Delhi,2021,4,South West,1036466
Delhi,2021,4,East,957392
Delhi,2021,4,South,911399
Delhi,2021,4,Shahdara,779798
Delhi,2022,1,West,2017435
Delhi,2022,1,South East Delhi,1628157
Delhi,2022,1,North West,1419688
Delhi,2022,1,Central Delhi,1338465
Delhi,2022,1,New Delhi,1336911
Delhi,2022,1,North,1159277
Delhi,2022,1,South West,1097016
Delhi,2022,1,East,1013024
Delhi,2022,1,South,963775
Delhi,2022,1,Shahdara,826148
Delhi,2022,2,West,2124626
Delhi,2022,2,South East Delhi,1714507
Delhi,2022,2,North West,1496002
Delhi,2022,2,Central Delhi,1409776
Delhi,2022,2,New Delhi,1406687
Delhi,2022,2,North,1222605
Delhi,2022,2,South West,1155288
Delhi,2022,2,East,1066632
Delhi,2022,2,South,1013938
Delhi,2022,2,Shahdara,870461
Delhi,2022,3,West,2235907
Delhi,2022,3,South East Delhi,1804123
Delhi,2022,3,North West,1575473
Delhi,2022,3,Central Delhi,1483786
Delhi,2022,3,New Delhi,1479669
Delhi,2022,3,North,1288507
Delhi,2022,3,South West,1215697
Delhi,2022,3,East,1121596
Delhi,2022,3,South,1065631
Delhi,2022,3,Shahdara,917096
Delhi,2022,4,West,2348063
Delhi,2022,4,South East Delhi,1894776
Delhi,2022,4,North West,1655730
Delhi,2022,4,Central Delhi,1558400
Delhi,2022,4,New Delhi,1552874
Delhi,2022,4,North,1354521
Delhi,2022,4,South West,1275864
Delhi,2022,4,East,1177294
Delhi,2022,4,South,1117981
Delhi,2022,4,Shahdara,963656
Delhi,2023,1,West,2453869
Delhi,2023,1,South East Delhi,1980915
Delhi,2023,1,North West,1731494
Delhi,2023,1,Central Delhi,1629248
Delhi,2023,1,New Delhi,1622600
Delhi,2023,1,North,1416994
Delhi,2023,1,South West,1333347
Delhi,2023,1,East,1230290
Delhi,2023,1,South,1167338
Delhi,2023,1,Shahdara,1007880
Delhi,2023,2,West,2546575
Delhi,2023,2,South East Delhi,2055408
Delhi,2023,2,North West,1798636
Delhi,2023,2,Central Delhi,1690547
Delhi,2023,2,New Delhi,1682305
Delhi,2023,2,North,1471979
Delhi,2023,2,South West,1383364
Delhi,2023,2,East,1275831
Delhi,2023,2,South,1209741
Delhi,2023,2,Shahdara,1046614
Delhi,2023,3,West,2641529
Delhi,2023,3,South East Delhi,2133173
Delhi,2023,3,North West,1866671
Delhi,2023,3,Central Delhi,1754227
Delhi,2023,3,New Delhi,1744588
Delhi,2023,3,North,1528582
Delhi,2023,3,South West,1435544
Delhi,2023,3,East,1322844
Delhi,2023,3,South,1254751
Delhi,2023,3,Shahdara,1086372
Delhi,2023,4,West,2732926
Delhi,2023,4,South East Delhi,2207076
Delhi,2023,4,North West,1933267
Delhi,2023,4,Central Delhi,1815323
Delhi,2023,4,New Delhi,1803952
Delhi,2023,4,North,1583005
Delhi,2023,4,South West,1484762
Delhi,2023,4,East,1367614
Delhi,2023,4,South,1296849
Delhi,2023,4,Shahdara,1124343
Delhi,2024,1,West,2837958
Delhi,2024,1,South East Delhi,2291746
Delhi,2024,1,North West,2008098
Delhi,2024,1,Central Delhi,1884700
Delhi,2024,1,New Delhi,1871468
Delhi,2024,1,North,1644670
Delhi,2024,1,South West,1541622
Delhi,2024,1,East,1418866
Delhi,2024,1,South,1345231
Delhi,2024,1,Shahdara,1167913
Goa,2018,1,North Goa,57769
Goa,2018,1,South Goa,34167
Goa,2018,2,North Goa,76192
Goa,2018,2,South Goa,45982
Goa,2018,3,North Goa,95307
Goa,2018,3,South Goa,58495
Goa,2018,4,North Goa,121001
Goa,2018,4,South Goa,74349
Goa,2019,1,North Goa,147802
Goa,2019,1,South Goa,90350
Goa,2019,2,North Goa,173002
Goa,2019,2,South Goa,105938
Goa,2019,3,North Goa,197361
Goa,2019,3,South Goa,119833
Goa,2019,4,North Goa,220385
Goa,2019,4,South Goa,133161
Goa,2020,1,North Goa,244309
Goa,2020,1,South Goa,147591
Goa,2020,2,North Goa,267533
Goa,2020,2,South Goa,163106
Goa,2020,3,North Goa,294195
Goa,2020,3,South Goa,180767
Goa,2020,4,North Goa,326479
Goa,2020,4,South Goa,201105
Goa,2021,1,North Goa,352593
Goa,2021,1,South Goa,217442
Goa,2021,2,North Goa,376703
Goa,2021,2,South Goa,232403
Goa,2021,3,North Goa,403952
Goa,2021,3,South Goa,249506
Goa,2021,4,North Goa,430814
Goa,2021,4,South Goa,266364
Goa,2022,1,North Goa,456250
Goa,2022,1,South Goa,282378
Goa,2022,2,North Goa,480353
Goa,2022,2,South Goa,297426
Goa,2022,3,North Goa,504946
Goa,2022,3,South Goa,312884
Goa,2022,4,North Goa,527826
Goa,2022,4,South Goa,327376
Goa,2023,1,North Goa,550554
Goa,2023,1,South Goa,341631
Goa,2023,2,North Goa,571111
Goa,2023,2,South Goa,354909
Goa,2023,3,North Goa,593176
Goa,2023,3,South Goa,368655
Goa,2023,4,North Goa,613836
Goa,2023,4,South Goa,382087
Goa,2024,1,North Goa,637677
Goa,2024,1,South Goa,397373
Gujarat,2018,1,Ahmadabad,572811
Gujarat,2018,1,Surat,489852
Gujarat,2018,1,Vadodara,205722
Gujarat,2018,1,Rajkot,133017
Gujarat,2018,1,Gandhinagar,118201
Gujarat,2018,1,Bharuch,101575
Gujarat,2018,1,Kachchh,97838
Gujarat,2018,1,Mahesana,97004
Gujarat,2018,1,Banas Kantha,93506
Gujarat,2018,1,Bhavnagar,87683
Gujarat,2018,2,Ahmadabad,751746
Gujarat,2018,2,Surat,652372
Gujarat,2018,2,Vadodara,271730
Gujarat,2018,2,Rajkot,174778
Gujarat,2018,2,Gandhinagar,155539
Gujarat,2018,2,Bharuch,134500
Gujarat,2018,2,Kachchh,128064
Gujarat,2018,2,Mahesana,127614
Gujarat,2018,2,Banas Kantha,125849
Gujarat,2018,2,Bhavnagar,115812
Gujarat,2018,3,Ahmadabad,919252
Gujarat,2018,3,Surat,808005
Gujarat,2018,3,Vadodara,335125
Gujarat,2018,3,Rajkot,215459
Gujarat,2018,3,Gandhinagar,190882
Gujarat,2018,3,Bharuch,169322
Gujarat,2018,3,Banas Kantha,159591
Gujarat,2018,3,Kachchh,158762
Gujarat,2018,3,Mahesana,157274
Gujarat,2018,3,Bhavnagar,141243
Gujarat,2018,4,Ahmadabad,1212636
Gujarat,2018,4,Surat,998807
Gujarat,2018,4,Vadodara,421895
Gujarat,2018,4,Rajkot,260602
Gujarat,2018,4,Gandhinagar,242368
Gujarat,2018,4,Bharuch,211843
Gujarat,2018,4,Banas Kantha,197774
Gujarat,2018,4,Kachchh,195295
Gujarat,2018,4,Mahesana,192493
Gujarat,2018,4,Bhavnagar,173699
Gujarat,2019,1,Ahmadabad,1450100
Gujarat,2019,1,Surat,1180819
Gujarat,2019,1,Vadodara,502520
Gujarat,2019,1,Rajkot,304415
Gujarat,2019,1,Gandhinagar,291858
Gujarat,2019,1,Bharuch,252826
Gujarat,2019,1,Banas Kantha,239613
Gujarat,2019,1,Kachchh,231871
Gujarat,2019,1,Mahesana,230403
Gujarat,2019,1,Valsad,209477
Gujarat,2019,2,Ahmadabad,1656341
Gujarat,2019,2,Surat,1338584
Gujarat,2019,2,Vadodara,572031
Gujarat,2019,2,Rajkot,345178
Gujarat,2019,2,Gandhinagar,333056
Gujarat,2019,2,Bharuch,284296
Gujarat,2019,2,Banas Kantha,271379
Gujarat,2019,2,Kachchh,261458
Gujarat,2019,2,Mahesana,259949
Gujarat,2019,2,Valsad,238764
Gujarat,2019,3,Ahmadabad,1848860
Gujarat,2019,3,Surat,1481391
Gujarat,2019,3,Vadodara,637678
Gujarat,2019,3,Rajkot,384852
Gujarat,2019,3,Gandhinagar,372464
Gujarat,2019,3,Bharuch,315856
Gujarat,2019,3,Banas Kantha,301373
Gujarat,2019,3,Mahesana,286652
Gujarat,2019,3,Kachchh,285519
Gujarat,2019,3,Valsad,266134
Gujarat,2019,4,Ahmadabad,2015947
Gujarat,2019,4,Surat,1624077
Gujarat,2019,4,Vadodara,700817
Gujarat,2019,4,Rajkot,426178
Gujarat,2019,4,Gandhinagar,408526
Gujarat,2019,4,Bharuch,350619
Gujarat,2019,4,Banas Kantha,339582
Gujarat,2019,4,Mahesana,316985
Gujarat,2019,4,Kachchh,314732
Gujarat,2019,4,Valsad,296977
Gujarat,2020,1,Ahmadabad,2185983
Gujarat,2020,1,Surat,1772703
Gujarat,2020,1,Vadodara,763969
Gujarat,2020,1,Rajkot,469636
Gujarat,2020,1,Gandhinagar,445290
Gujarat,2020,1,Banas Kantha,386212
Gujarat,2020,1,Bharuch,384819
Gujarat,2020,1,Mahesana,349897
Gujarat,2020,1,Kachchh,347270
Gujarat,2020,1,Valsad,330053
Gujarat,2020,2,Ahmadabad,2384154
Gujarat,2020,2,Surat,1935894
Gujarat,2020,2,Vadodara,830759
Gujarat,2020,2,Rajkot,522650
Gujarat,2020,2,Gandhinagar,488351
Gujarat,2020,2,Banas Kantha,446603
Gujarat,2020,2,Bharuch,423017
Gujarat,2020,2,Mahesana,389562
Gujarat,2020,2,Kachchh,385480
Gujarat,2020,2,Valsad,372771
Gujarat,2020,3,Ahmadabad,2580178
Gujarat,2020,3,Surat,2092712
Gujarat,2020,3,Vadodara,901492
Gujarat,2020,3,Rajkot,573062
Gujarat,2020,3,Gandhinagar,529771
Gujarat,2020,3,Banas Kantha,501471
Gujarat,2020,3,Bharuch,462292
Gujarat,2020,3,Mahesana,427950
Gujarat,2020,3,Kachchh,423729
Gujarat,2020,3,Valsad,410740
Gujarat,2020,4,Ahmadabad,2787991
Gujarat,2020,4,Surat,2278232
Gujarat,2020,4,Vadodara,980658
Gujarat,2020,4,Rajkot,627654
Gujarat,2020,4,Gandhinagar,572461
Gujarat,2020,4,Banas Kantha,551645
Gujarat,2020,4,Bharuch,508005
Gujarat,2020,4,Kachchh,466855
Gujarat,2020,4,Mahesana,464932
Gujarat,2020,4,Valsad,452628
Gujarat,2021,1,Ahmadabad,2999575
Gujarat,2021,1,Surat,2458596
Gujarat,2021,1,Vadodara,1053954
Gujarat,2021,1,Rajkot,677301
Gujarat,2021,1,Gandhinagar,615315
Gujarat,2021,1,Banas Kantha,598384
Gujarat,2021,1,Bharuch,548541
Gujarat,2021,1,Kachchh,505517
Gujarat,2021,1,Mahesana,500511
Gujarat,2021,1,Valsad,489062
Gujarat,2021,2,Ahmadabad,3209841
Gujarat,2021,2,Surat,2633443
Gujarat,2021,2,Vadodara,1127636
Gujarat,2021,2,Rajkot,726817
Gujarat,2021,2,Gandhinagar,658428
Gujarat,2021,2,Banas Kantha,645073
Gujarat,2021,2,Bharuch,588777
Gujarat,2021,2,Kachchh,543585
Gujarat,2021,2,Mahesana,536645
Gujarat,2021,2,Valsad,524614
Gujarat,2021,3,Ahmadabad,3445024
Gujarat,2021,3,Surat,2830392
Gujarat,2021,3,Vadodara,1210266
Gujarat,2021,3,Rajkot,782611
Gujarat,2021,3,Gandhinagar,706654
Gujarat,2021,3,Banas Kantha,698841
Gujarat,2021,3,Bharuch,634589
Gujarat,2021,3,Kachchh,587589
Gujarat,2021,3,Mahesana,578072
Gujarat,2021,3,Valsad,565423
Gujarat,2021,4,Ahmadabad,3679243
Gujarat,2021,4,Surat,3026960
Gujarat,2021,4,Vadodara,1292097
Gujarat,2021,4,Rajkot,837869
Gujarat,2021,4,Gandhinagar,754369
Gujarat,2021,4,Banas Kantha,751116
Gujarat,2021,4,Bharuch,679705
Gujarat,2021,4,Kachchh,630878
Gujarat,2021,4,Mahesana,618376
Gujarat,2021,4,Valsad,605655
Gujarat,2022,1,Ahmadabad,3897869
Gujarat,2022,1,Surat,3210535
Gujarat,2022,1,Vadodara,1368210
Gujarat,2022,1,Rajkot,889499
Gujarat,2022,1,Banas Kantha,802470
Gujarat,2022,1,Gandhinagar,799301
Gujarat,2022,1,Bharuch,722367
Gujarat,2022,1,Kachchh,671465
Gujarat,2022,1,Mahesana,656908
Gujarat,2022,1,Valsad,643742
Gujarat,2022,2,Ahmadabad,4105172
Gujarat,2022,2,Surat,3385398
Gujarat,2022,2,Vadodara,1440949
Gujarat,2022,2,Rajkot,937863
Gujarat,2022,2,Banas Kantha,849884
Gujarat,2022,2,Gandhinagar,841732
Gujarat,2022,2,Bharuch,762752
Gujarat,2022,2,Kachchh,709339
Gujarat,2022,2,Mahesana,692794
Gujarat,2022,2,Valsad,679340
Gujarat,2022,3,Ahmadabad,4319512
Gujarat,2022,3,Surat,3567767
Gujarat,2022,3,Vadodara,1515556
Gujarat,2022,3,Rajkot,986904
Gujarat,2022,3,Banas Kantha,896869
Gujarat,2022,3,Gandhinagar,885535
Gujarat,2022,3,Bharuch,803845
Gujarat,2022,3,Kachchh,747079
Gujarat,2022,3,Mahesana,729723
Gujarat,2022,3,Valsad,716467
Gujarat,2022,4,Ahmadabad,4530853
Gujarat,2022,4,Surat,3747780
Gujarat,2022,4,Vadodara,1587831
Gujarat,2022,4,Rajkot,1033159
Gujarat,2022,4,Banas Kantha,939693
Gujarat,2022,4,Gandhinagar,927585
Gujarat,2022,4,Bharuch,842519
Gujarat,2022,4,Kachchh,781383
Gujarat,2022,4,Mahesana,763693
Gujarat,2022,4,Valsad,751767
Gujarat,2023,1,Ahmadabad,4734630
Gujarat,2023,1,Surat,3919829
Gujarat,2023,1,Vadodara,1658232
Gujarat,2023,1,Rajkot,1079736
Gujarat,2023,1,Banas Kantha,985280
Gujarat,2023,1,Gandhinagar,968586
Gujarat,2023,1,Bharuch,881508
Gujarat,2023,1,Kachchh,817441
Gujarat,2023,1,Mahesana,798353
Gujarat,2023,1,Valsad,786811
Gujarat,2023,2,Ahmadabad,4913610
Gujarat,2023,2,Surat,4076929
Gujarat,2023,2,Vadodara,1721431
Gujarat,2023,2,Rajkot,1123115
Gujarat,2023,2,Banas Kantha,1030499
Gujarat,2023,2,Gandhinagar,1005603
Gujarat,2023,2,Bharuch,917746
Gujarat,2023,2,Kachchh,853047
Gujarat,2023,2,Mahesana,831177
Gujarat,2023,2,Valsad,818831
Gujarat,2023,3,Ahmadabad,5105557
Gujarat,2023,3,Surat,4238878
Gujarat,2023,3,Vadodara,1789238
Gujarat,2023,3,Rajkot,1167848
Gujarat,2023,3,Banas Kantha,1074757
Gujarat,2023,3,Gandhinagar,1044993
Gujarat,2023,3,Bharuch,955541
Gujarat,2023,3,Kachchh,888857
Gujarat,2023,3,Mahesana,864845
Gujarat,2023,3,Valsad,852301
Gujarat,2023,4,Ahmadabad,5282400
Gujarat,2023,4,Surat,4396038
Gujarat,2023,4,Vadodara,1851909
Gujarat,2023,4,Rajkot,1210023
Gujarat,2023,4,Banas Kantha,1116214
Gujarat,2023,4,Gandhinagar,1080850
Gujarat,2023,4,Bharuch,991279
Gujarat,2023,4,Kachchh,922553
Gujarat,2023,4,Mahesana,895934
Gujarat,2023,4,Valsad,883746
Gujarat,2024,1,Ahmadabad,5485010
Gujarat,2024,1,Surat,4569769
Gujarat,2024,1,Vadodara,1923948
Gujarat,2024,1,Rajkot,1258350
Gujarat,2024,1,Banas Kantha,1165004
Gujarat,2024,1,Gandhinagar,1122367
Gujarat,2024,1,Bharuch,1032496
Gujarat,2024,1,Kachchh,962243
Gujarat,2024,1,Mahesana,931768
Gujarat,2024,1,Valsad,919660
Haryana,2018,1,Gurugram,474081
Haryana,2018,1,Faridabad,231504
Haryana,2018,1,Hisar,113872
Haryana,2018,1,Rewari,85350
Haryana,2018,1,Sonipat,79638
Haryana,2018,1,Panipat,74739
Haryana,2018,1,Karnal,73612
Haryana,2018,1,Sirsa,70800
Haryana,2018,1,Rohtak,62452
Haryana,2018,1,Bhiwani,57585
Haryana,2018,2,Gurugram,621718
Haryana,2018,2,Faridabad,306358
Haryana,2018,2,Hisar,147599
Haryana,2018,2,Rewari,113056
Haryana,2018,2,Sonipat,106837
Haryana,2018,2,Panipat,101243
Haryana,2018,2,Karnal,98276
Haryana,2018,2,Sirsa,91908
Haryana,2018,2,Rohtak,82822
Haryana,2018,2,Bhiwani,75485
Haryana,2018,3,Gurugram,767369
Haryana,2018,3,Faridabad,383316
Haryana,2018,3,Hisar,176380
Haryana,2018,3,Rewari,138368
Haryana,2018,3,Sonipat,132705
Haryana,2018,3,Panipat,124290
Haryana,2018,3,Karnal,121471
Haryana,2018,3,Sirsa,109165
Haryana,2018,3,Rohtak,101649
Haryana,2018,3,Ambala,92472
Haryana,2018,4,Gurugram,967781
Haryana,2018,4,Faridabad,521996
Haryana,2018,4,Hisar,210671
Haryana,2018,4,Rewari,172035
Haryana,2018,4,Sonipat,165599
Haryana,2018,4,Panipat,153137
Haryana,2018,4,Karnal,149062
Haryana,2018,4,Sirsa,127874
Haryana,2018,4,Rohtak,124365
Haryana,2018,4,Jhajjar,114488
Haryana,2019,1,Gurugram,1159832
Haryana,2019,1,Faridabad,634024
Haryana,2019,1,Hisar,245236
Haryana,2019,1,Rewari,207051
Haryana,2019,1,Sonipat,199593
Haryana,2019,1,Panipat,181548
Haryana,2019,1,Karnal,177042
Haryana,2019,1,Rohtak,147392
Haryana,2019,1,Sirsa,146936
Haryana,2019,1,Palwal,141953
Haryana,2019,2,Gurugram,1307319
Haryana,2019,2,Faridabad,716593
Haryana,2019,2,Hisar,277720
Haryana,2019,2,Rewari,238349
Haryana,2019,2,Sonipat,230883
Haryana,2019,2,Panipat,208172
Haryana,2019,2,Karnal,204255
Haryana,2019,2,Rohtak,169372
Haryana,2019,2,Palwal,165665
Haryana,2019,2,Sirsa,163468
Haryana,2019,3,Gurugram,1447473
Haryana,2019,3,Faridabad,792884
Haryana,2019,3,Hisar,308179
Haryana,2019,3,Rewari,266893
Haryana,2019,3,Sonipat,261554
Haryana,2019,3,Panipat,235346
Haryana,2019,3,Karnal,230603
Haryana,2019,3,Rohtak,190137
Haryana,2019,3,Palwal,188217
Haryana,2019,3,Jhajjar,185095
Haryana,2019,4,Gurugram,1574240
Haryana,2019,4,Faridabad,862595
Haryana,2019,4,Hisar,339753
Haryana,2019,4,Rewari,294161
Haryana,2019,4,Sonipat,291479
Haryana,2019,4,Panipat,262435
Haryana,2019,4,Karnal,255280
Haryana,2019,4,Rohtak,209750
Haryana,2019,4,Palwal,209434
Haryana,2019,4,Jhajjar,206377
Haryana,2020,1,Gurugram,1700505
Haryana,2020,1,Faridabad,935992
Haryana,2020,1,Hisar,382469
Haryana,2020,1,Sonipat,325111
Haryana,2020,1,Rewari,323001
Haryana,2020,1,Panipat,293916
Haryana,2020,1,Karnal,283270
Haryana,2020,1,Palwal,233542
Haryana,2020,1,Rohtak,231317
Haryana,2020,1,Jhajjar,230059
Haryana,2020,2,Gurugram,1809777
Haryana,2020,2,Faridabad,1010271
Haryana,2020,2,Hisar,417164
Haryana,2020,2,Sonipat,362890
Haryana,2020,2,Rewari,354024
Haryana,2020,2,Panipat,324833
Haryana,2020,2,Karnal,313828
Haryana,2020,2,Palwal,259528
Haryana,2020,2,Jhajjar,256581
Haryana,2020,2,Rohtak,254647
Haryana,2020,3,Gurugram,1949331
Haryana,2020,3,Faridabad,1094570
Haryana,2020,3,Hisar,453910
Haryana,2020,3,Sonipat,402001
Haryana,2020,3,Rewari,388025
Haryana,2020,3,Panipat,357830
Haryana,2020,3,Karnal,344289
Haryana,2020,3,Palwal,285223
Haryana,2020,3,Jhajjar,284852
Haryana,2020,3,Rohtak,280325
Haryana,2020,4,Gurugram,2104240
Haryana,2020,4,Faridabad,1182635
Haryana,2020,4,Hisar,490971
Haryana,2020,4,Sonipat,441088
Haryana,2020,4,Rewari,421106
Haryana,2020,4,Panipat,391952
Haryana,2020,4,Karnal,374733
Haryana,2020,4,Jhajjar,313144
Haryana,2020,4,Palwal,310698
Haryana,2020,4,Rohtak,305922
Haryana,2021,1,Gurugram,2262589
Haryana,2021,1,Faridabad,1272506
Haryana,2021,1,Hisar,526528
Haryana,2021,1,Sonipat,475192
Haryana,2021,1,Rewari,453500
Haryana,2021,1,Panipat,423131
Haryana,2021,1,Karnal,402850
Haryana,2021,1,Jhajjar,337303
Haryana,2021,1,Palwal,335048
Haryana,2021,1,Rohtak,329147
Haryana,2021,2,Gurugram,2416391
Haryana,2021,2,Faridabad,1360855
Haryana,2021,2,Hisar,564047
Haryana,2021,2,Sonipat,510058
Haryana,2021,2,Rewari,485784
Haryana,2021,2,Panipat,454218
Haryana,2021,2,Karnal,432042
Haryana,2021,2,Jhajjar,362160
Haryana,2021,2,Palwal,359544
Haryana,2021,2,Rohtak,353305
Haryana,2021,3,Gurugram,2589324
Haryana,2021,3,Faridabad,1459758
Haryana,2021,3,Hisar,606513
Haryana,2021,3,Sonipat,549613
Haryana,2021,3,Rewari,522734
Haryana,2021,3,Panipat,489226
Haryana,2021,3,Karnal,464990
Haryana,2021,3,Jhajjar,390612
Haryana,2021,3,Palwal,387557
Haryana,2021,3,Rohtak,380370
Haryana,2021,4,Gurugram,2764490
Haryana,2021,4,Faridabad,1559756
Haryana,2021,4,Hisar,648827
Haryana,2021,4,Sonipat,588700
Haryana,2021,4,Rewari,559494
Haryana,2021,4,Panipat,523678
Haryana,2021,4,Karnal,497166
Haryana,2021,4,Jhajjar,418950
Haryana,2021,4,Palwal,415495
Haryana,2021,4,Rohtak,407245
Haryana,2022,1,Gurugram,2929873
Haryana,2022,1,Faridabad,1654074
Haryana,2022,1,Hisar,689980
Haryana,2022,1,Sonipat,626016
Haryana,2022,1,Rewari,595001
Haryana,2022,1,Panipat,556104
Haryana,2022,1,Karnal,527415
Haryana,2022,1,Jhajjar,445888
Haryana,2022,1,Palwal,441872
Haryana,2022,1,Rohtak,432623
Haryana,2022,2,Gurugram,3088176
Haryana,2022,2,Faridabad,1743764
Haryana,2022,2,Hisar,727942
Haryana,2022,2,Sonipat,661278
Haryana,2022,2,Rewari,628614
Haryana,2022,2,Panipat,587006
Haryana,2022,2,Karnal,555939
Haryana,2022,2,Jhajjar,471357
Haryana,2022,2,Palwal,466861
Haryana,2022,2,Rohtak,456537
